ID,Gene,ncbi,RSG
307,hsa11136,11136,NG_008258.1
308,hsa1114,1114,NG_042285.1
309,hsa11141,11141,NG_008292.2
310,hsa11143,11143,NG_051976.1
311,hsa11144,11144,NG_017203.1
312,hsa11146,11146,NG_009796.1
313,hsa11151,11151,NG_023415.1
314,hsa11152,11152,NG_033004.2
315,hsa11154,11154,NG_031913.1
316,hsa11155,11155,NG_008876.1
317,hsa1116,1116,NG_013056.1
318,hsa11162,11162,NG_030404.1
319,hsa11163,11163,NG_029507.1
320,hsa11172,11172,NG_046969.1
321,hsa11178,11178,NG_015834.3
322,hsa11179,11179,NG_041797.1
323,hsa1118,1118,NG_012867.1
324,hsa11180,11180,NG_029915.1
325,hsa11185,11185,NG_047126.1
326,hsa11186,11186,NG_023270.1
327,hsa11188,11188,NG_033112.1
328,hsa11190,11190,NG_051604.1
329,hsa11198,11198,NG_009932.1
330,hsa112,112,NG_042166.1
331,hsa1120,1120,NG_029213.1
332,hsa11200,11200,NG_008150.2
333,hsa1121,1121,NG_009874.2
334,hsa11213,11213,NG_021194.1
335,hsa11216,11216,NG_011493.1
336,hsa11219,11219,NG_029986.1
337,hsa11222,11222,NG_029207.1
338,hsa11228,11228,NG_029077.1
339,hsa1123,1123,NG_012642.2
340,hsa11231,11231,NG_008270.1
341,hsa11232,11232,NG_013029.1
342,hsa11234,11234,NG_008877.1
343,hsa11235,11235,NG_008158.1
344,hsa11236,11236,NG_012158.1
345,hsa1124,1124,NG_029365.2
346,hsa112476,112476,NG_032039.1
347,hsa11253,11253,NG_031978.1
348,hsa112609,112609,NG_051944.1
349,hsa11262,11262,NG_051286.1
350,hsa112714,112714,NG_051288.1
351,hsa112724,112724,NG_052825.1
352,hsa112744,112744,NG_031869.1
353,hsa112752,112752,NG_031957.1
354,hsa112755,112755,NG_041829.1
355,hsa11277,11277,NG_009820.2
356,hsa11279,11279,NG_011949.2
357,hsa112802,112802,NG_012426.1
358,hsa112812,112812,NG_034259.1
359,hsa11283,11283,NG_008068.1
360,hsa11284,11284,NG_027717.1
361,hsa11285,11285,NG_015977.1
362,hsa1129,1129,NG_011846.2
363,hsa1130,1130,NG_007397.1
364,hsa1131,1131,NG_032046.2
365,hsa11311,11311,NG_033910.1
366,hsa113146,113146,NG_054630.1
367,hsa11315,11315,NG_008271.1
368,hsa113189,113189,NG_017074.1
369,hsa11326,11326,NG_021306.1
370,hsa113263,113263,NG_032073.1
371,hsa11330,11330,NG_009253.1
372,hsa11333,11333,NG_028040.1
373,hsa11338,11338,NG_032904.1
374,hsa1134,1134,NG_008172.1
375,hsa11340,11340,NG_042275.1
376,hsa113457,113457,NG_030320.1
377,hsa1135,1135,NG_015827.1
378,hsa1136,1136,NG_016143.1
379,hsa1137,1137,NG_011931.1
380,hsa1138,1138,NG_023328.1
381,hsa1139,1139,NG_009216.1
382,hsa1140,1140,NG_008026.1
383,hsa1141,1141,NG_008027.1
384,hsa114132,114132,NG_030323.1
385,hsa114294,114294,NG_050565.1
386,hsa114327,114327,NG_016760.1
387,hsa1144,1144,NG_008028.1
388,hsa1145,1145,NG_008029.2
389,hsa114548,114548,NG_007509.2
390,hsa1146,1146,NG_012954.2
391,hsa114609,114609,NG_011523.1
392,hsa114625,114625,NG_008749.1
393,hsa1147,1147,NG_028023.1
394,hsa114780,114780,NG_033236.1
395,hsa114781,114781,NG_016545.1
396,hsa114784,114784,NG_053181.1
397,hsa114798,114798,NG_016748.1
398,hsa114815,114815,NG_029120.1
399,hsa114824,114824,NG_021341.2
400,hsa114876,114876,NG_029432.1
401,hsa114879,114879,NG_009548.2
402,hsa114902,114902,NG_012235.1
403,hsa114928,114928,NG_021322.1
404,hsa115,115,NG_011434.2
405,hsa115123,115123,NG_033192.1
406,hsa115290,115290,NG_050566.1
407,hsa115352,115352,NG_023241.1
408,hsa115362,115362,NG_052816.1
409,hsa1154,1154,NG_023194.1
410,hsa115557,115557,NG_053182.1
411,hsa115650,115650,NG_007579.1
412,hsa115653,115653,NG_050568.1
413,hsa115752,115752,NG_050688.1
414,hsa115761,115761,NG_021342.1
415,hsa115948,115948,NG_041777.1
416,hsa116085,116085,NG_008110.1
417,hsa1161,1161,NG_009289.1
418,hsa116154,116154,NG_029537.2
419,hsa116211,116211,NG_054731.1
420,hsa116328,116328,NG_055258.1
421,hsa116369,116369,NG_033897.1
422,hsa116442,116442,NG_012626.2
423,hsa116461,116461,NG_050569.1
424,hsa116496,116496,NG_051588.1
425,hsa116840,116840,NG_029754.1
426,hsa116931,116931,NG_021244.1
427,hsa116986,116986,NG_029755.1
428,hsa116987,116987,NG_030314.1
429,hsa116988,116988,NG_053086.1
430,hsa117,117,NG_029869.1
431,hsa117144,117144,NG_016285.1
432,hsa117154,117154,NG_012817.2
433,hsa117155,117155,NG_009283.1
434,hsa117156,117156,NG_016867.1
435,hsa1174,1174,NG_033082.2
436,hsa1175,1175,NG_033136.1
437,hsa117581,117581,NG_032754.2
438,hsa1178,1178,NG_046978.1
439,hsa118,118,NG_012037.1
440,hsa1180,1180,NG_009815.2
441,hsa1182,1182,NG_029731.1
442,hsa1183,1183,NG_012496.1
443,hsa1184,1184,NG_007159.3
444,hsa118429,118429,NG_015987.1
445,hsa1186,1186,NG_007567.1
446,hsa1187,1187,NG_009359.1
447,hsa118924,118924,NG_016832.1
448,hsa119,119,NG_029481.2
449,hsa1191,1191,NG_027845.1
450,hsa1193,1193,NG_012497.2
451,hsa119391,119391,NG_023363.1
452,hsa119559,119559,NG_033895.1
453,hsa119587,119587,NG_052814.1
454,hsa12,12,NG_012879.1
455,hsa120,120,NG_051033.1
456,hsa1200,1200,NG_008653.1
457,hsa1201,1201,NG_008654.2
458,hsa1203,1203,NG_009064.1
459,hsa120534,120534,NG_034234.1
460,hsa120892,120892,NG_011709.1
461,hsa121278,121278,NG_008279.1
462,hsa1213,1213,NG_047043.1
463,hsa121391,121391,NG_012321.1
464,hsa121512,121512,NG_008626.2
465,hsa122042,122042,NG_015819.1
466,hsa122481,122481,NG_054631.1
467,hsa122622,122622,NG_051175.1
468,hsa122961,122961,NG_033074.1
469,hsa123016,123016,NG_008126.2
470,hsa1234,1234,NG_012637.1
471,hsa123606,123606,NG_009056.1
472,hsa124093,124093,NG_032932.1
473,hsa1244,1244,NG_011798.2
