ID,Gene,ncbi,RSG
1452,hsa256714,256714,NG_016371.1
1453,hsa2570,2570,NG_033977.2
1454,hsa2571,2571,NG_021477.1
1455,hsa257397,257397,NG_012845.2
1456,hsa25763,25763,NG_021354.1
1457,hsa25766,25766,NG_032901.2
1458,hsa25769,25769,NG_029734.1
1459,hsa25776,25776,NG_047138.1
1460,hsa25778,25778,NG_033904.1
1461,hsa25780,25780,NG_053077.1
1462,hsa25782,25782,NG_015837.2
1463,hsa25788,25788,NG_012878.2
1464,hsa25792,25792,NG_032983.1
1465,hsa25793,25793,NG_016001.2
1466,hsa2581,2581,NG_011853.3
1467,hsa25813,25813,NG_029057.2
1468,hsa25814,25814,NG_016212.2
1469,hsa2582,2582,NG_007068.1
1470,hsa25828,25828,NG_046718.1
1471,hsa2583,2583,NG_033849.1
1472,hsa25833,25833,NG_030035.1
1473,hsa25836,25836,NG_006987.2
1474,hsa25839,25839,NG_027529.1
1475,hsa2584,2584,NG_008079.2
1476,hsa25861,25861,NG_016700.1
1477,hsa2587,2587,NG_009223.1
1478,hsa25873,25873,NG_017015.1
1479,hsa25875,25875,NG_029858.2
1480,hsa25878,25878,NG_021336.1
1481,hsa2588,2588,NG_008667.1
1482,hsa25885,25885,NG_050742.2
1483,hsa25888,25888,NG_051198.1
1484,hsa25894,25894,NG_008439.2
1485,hsa25898,25898,NG_029152.1
1486,hsa2590,2590,NG_011854.2
1487,hsa25902,25902,NG_029185.2
1488,hsa2591,2591,NG_012069.1
1489,hsa25911,25911,NG_051289.1
1490,hsa25913,25913,NG_029232.1
1491,hsa25915,25915,NG_016282.1
1492,hsa259197,259197,NG_021176.1
1493,hsa2592,2592,NG_009029.2
1494,hsa25923,25923,NG_033985.1
1495,hsa259232,259232,NG_053176.1
1496,hsa259266,259266,NG_015867.1
1497,hsa25929,25929,NG_052854.1
1498,hsa2593,2593,NG_009785.1
1499,hsa25930,25930,NG_051056.1
1500,hsa25939,25939,NG_017059.1
1501,hsa25942,25942,NG_052855.1
1502,hsa25945,25945,NG_029835.1
1503,hsa25953,25953,NG_017060.1
1504,hsa25959,25959,NG_051186.1
1505,hsa2597,2597,NG_007073.2
1506,hsa25970,25970,NG_029706.2
1507,hsa25973,25973,NG_042048.1
1508,hsa25975,25975,NG_015963.1
1509,hsa25977,25977,NG_034155.1
1510,hsa25978,25978,NG_007885.1
1511,hsa25981,25981,NG_052911.1
1512,hsa25984,25984,NG_012287.1
1513,hsa25998,25998,NG_047139.1
1514,hsa26012,26012,NG_021362.1
1515,hsa26013,26013,NG_009238.3
1516,hsa26019,26019,NG_033936.1
1517,hsa26020,26020,NG_051090.1
1518,hsa26022,26022,NG_034264.1
1519,hsa26039,26039,NG_034255.1
1520,hsa26040,26040,NG_027527.2
1521,hsa26047,26047,NG_007092.3
1522,hsa26058,26058,NG_011847.1
1523,hsa26060,26060,NG_047003.1
1524,hsa26086,26086,NG_028088.2
1525,hsa26092,26092,NG_042316.1
1526,hsa26094,26094,NG_047140.1
1527,hsa26097,26097,NG_030030.1
1528,hsa26119,26119,NG_008932.1
1529,hsa26121,26121,NG_009759.1
1530,hsa26128,26128,NG_017061.1
1531,hsa26137,26137,NG_052992.1
1532,hsa26146,26146,NG_053055.1
1533,hsa26152,26152,NG_034058.1
1534,hsa26160,26160,NG_034068.1
1535,hsa2617,2617,NG_007942.1
1536,hsa261734,261734,NG_011724.2
1537,hsa2618,2618,NG_029160.1
1538,hsa2619,2619,NG_032760.1
1539,hsa26191,26191,NG_011432.1
1540,hsa26206,26206,NG_047141.1
1541,hsa2621,2621,NG_029703.1
1542,hsa2622,2622,NG_046598.1
1543,hsa26227,26227,NG_009188.1
1544,hsa26228,26228,NG_047142.1
1545,hsa26229,26229,NG_031863.1
1546,hsa2623,2623,NG_008846.2
1547,hsa26234,26234,NG_047143.1
1548,hsa26235,26235,NG_033903.1
1549,hsa2624,2624,NG_029334.1
1550,hsa26240,26240,NG_045226.1
1551,hsa26249,26249,NG_032569.1
1552,hsa2625,2625,NG_015859.1
1553,hsa26254,26254,NG_022886.1
1554,hsa26258,26258,NG_028194.2
1555,hsa2626,2626,NG_008177.2
1556,hsa26262,26262,NG_034043.2
1557,hsa2627,2627,NG_032677.2
1558,hsa26275,26275,NG_017062.1
1559,hsa26276,26276,NG_012162.1
1560,hsa26277,26277,NG_016650.1
1561,hsa26278,26278,NG_012342.1
1562,hsa2628,2628,NG_011674.2
1563,hsa26287,26287,NG_034079.1
1564,hsa2629,2629,NG_009783.1
1565,hsa26291,26291,NG_033945.1
1566,hsa26298,26298,NG_029177.1
1567,hsa2632,2632,NG_011810.1
1568,hsa26330,26330,NG_046898.1
1569,hsa2634,2634,NG_046995.1
1570,hsa26353,26353,NG_007953.2
1571,hsa26354,26354,NG_027871.1
1572,hsa2638,2638,NG_012837.3
1573,hsa2639,2639,NG_009292.1
1574,hsa2642,2642,NG_016409.1
1575,hsa2643,2643,NG_008647.1
1576,hsa2645,2645,NG_008847.2
1577,hsa2646,2646,NG_028024.1
1578,hsa26468,26468,NG_029683.1
1579,hsa265,265,NG_012040.1
1580,hsa26504,26504,NG_016608.1
1581,hsa26511,26511,NG_028924.1
1582,hsa2652,2652,NG_011606.1
1583,hsa26521,26521,NG_033145.1
1584,hsa26525,26525,NG_031864.1
1585,hsa26528,26528,NG_029884.1
1586,hsa2653,2653,NG_016427.1
1587,hsa26548,26548,NG_054891.1
1588,hsa26580,26580,NG_008461.1
1589,hsa26585,26585,NG_033791.2
1590,hsa26589,26589,NG_046990.1
1591,hsa2660,2660,NG_009800.1
1592,hsa26608,26608,NG_023281.1
1593,hsa2661,2661,NG_047051.1
1594,hsa26610,26610,NG_034086.1
1595,hsa2664,2664,NG_008954.1
1596,hsa2668,2668,NG_011675.2
1597,hsa266812,266812,NG_045229.1
1598,hsa267,267,NG_047034.1
1599,hsa2670,2670,NG_008401.1
1600,hsa267012,267012,NG_012694.1
1601,hsa2671,2671,NG_016288.1
1602,hsa2672,2672,NG_007874.1
1603,hsa2673,2673,NG_029542.1
1604,hsa2674,2674,NG_050620.1
1605,hsa26747,26747,NG_032080.1
1606,hsa2675,2675,NG_029215.2
1607,hsa2676,2676,NG_046894.1
1608,hsa26762,26762,NG_017001.1
1609,hsa2677,2677,NG_011811.2
1610,hsa2678,2678,NG_008111.1
1611,hsa268,268,NG_012190.1
1612,hsa2683,2683,NG_008919.1
1613,hsa26873,26873,NG_032671.1
1614,hsa2688,2688,NG_011676.1
1615,hsa269,269,NG_015981.1
1616,hsa2690,2690,NG_011688.2
1617,hsa2692,2692,NG_021416.1
1618,hsa2693,2693,NG_021159.1
1619,hsa2694,2694,NG_008120.1
1620,hsa26960,26960,NG_028156.1
1621,hsa2697,2697,NG_008308.1
1622,hsa26986,26986,NG_027520.1
1623,hsa27,27,NG_028242.1
1624,hsa270,270,NG_008012.1
1625,hsa2700,2700,NG_016399.1
1626,hsa27010,27010,NG_032112.2
1627,hsa27019,27019,NG_008127.1
1628,hsa2702,2702,NG_009369.2
1629,hsa27022,27022,NG_012220.1
1630,hsa2703,2703,NG_016242.1
1631,hsa27030,27030,NG_008649.1
1632,hsa27031,27031,NG_008130.2
1633,hsa27032,27032,NG_007379.2
1634,hsa27034,27034,NG_015842.1
1635,hsa27035,27035,NG_012567.1
1636,hsa27044,27044,NG_051199.1
1637,hsa2705,2705,NG_008357.1
1638,hsa2706,2706,NG_008358.1
1639,hsa27063,27063,NG_023227.1
1640,hsa2707,2707,NG_008309.1
1641,hsa27077,27077,NG_031885.2
1642,hsa27085,27085,NG_033151.1
1643,hsa27086,27086,NG_028243.1
1644,hsa27089,27089,NG_012221.1
1645,hsa27095,27095,NG_052857.1
1646,hsa271,271,NG_034075.1
1647,hsa2710,2710,NG_008178.1
1648,hsa27101,27101,NG_029961.1
1649,hsa27111,27111,NG_029926.2
1650,hsa27113,27113,NG_031991.2
1651,hsa27115,27115,NG_011994.1
1652,hsa27125,27125,NG_030340.1
1653,hsa27129,27129,NG_053133.1
1654,hsa27130,27130,NG_008316.1
1655,hsa27133,27133,NG_034062.1
1656,hsa27145,27145,NG_051931.1
1657,hsa27148,27148,NG_029739.1
1658,hsa27151,27151,NG_054892.1
1659,hsa2717,2717,NG_007119.1
1660,hsa27178,27178,NG_029219.1
1661,hsa27185,27185,NG_011681.2
1662,hsa2719,2719,NG_009286.1
1663,hsa272,272,NG_012041.1
1664,hsa2720,2720,NG_009005.1
1665,hsa27229,27229,NG_042168.1
1666,hsa27232,27232,NG_008396.1
1667,hsa27238,27238,NG_021310.2
1668,hsa27244,27244,NG_029518.1
1669,hsa27245,27245,NG_034158.1
1670,hsa27247,27247,NG_031931.1
1671,hsa27248,27248,NG_029742.1
1672,hsa27252,27252,NG_046985.1
1673,hsa27255,27255,NG_047144.1
1674,hsa2729,2729,NG_012071.2
1675,hsa27295,27295,NG_032576.3
1676,hsa2730,2730,NG_012072.1
1677,hsa27301,27301,NG_012568.1
1678,hsa27306,27306,NG_032150.1
1679,hsa2731,2731,NG_016397.1
1680,hsa27315,27315,NG_051812.1
1681,hsa27316,27316,NG_012918.1
1682,hsa27329,27329,NG_028169.1
1683,hsa2733,2733,NG_012073.1
1684,hsa27330,27330,NG_016340.1
1685,hsa27336,27336,NG_013235.1
1686,hsa27343,27343,NG_017063.1
1687,hsa27347,27347,NG_052783.1
1688,hsa2735,2735,NG_029564.1
1689,hsa2736,2736,NG_009030.1
1690,hsa2737,2737,NG_008434.1
1691,hsa2739,2739,NG_012074.1
1692,hsa274,274,NG_012042.1
1693,hsa2741,2741,NG_011764.1
1694,hsa2742,2742,NG_016459.2
1695,hsa27429,27429,NG_012163.1
1696,hsa2743,2743,NG_015823.1
1697,hsa27443,27443,NG_033989.1
1698,hsa27445,27445,NG_047145.1
1699,hsa2745,2745,NG_029797.1
1700,hsa2746,2746,NG_013010.1
1701,hsa2747,2747,NG_016456.1
1702,hsa275,275,NG_015986.1
1703,hsa2752,2752,NG_013347.2
1704,hsa2760,2760,NG_009059.1
1705,hsa2766,2766,NG_013303.1
1706,hsa2767,2767,NG_033852.2
1707,hsa2771,2771,NG_016002.2
1708,hsa2773,2773,NG_032795.1
1709,hsa2774,2774,NG_033866.1
1710,hsa2775,2775,NG_042800.1
1711,hsa2776,2776,NG_027904.2
1712,hsa2778,2778,NG_016194.2
1713,hsa2779,2779,NG_009831.1
1714,hsa2782,2782,NG_047052.1
1715,hsa2784,2784,NG_009100.2
1716,hsa2792,2792,NG_051196.1
1717,hsa2793,2793,NG_009841.1
1718,hsa2796,2796,NG_016457.1
1719,hsa2798,2798,NG_009293.1
1720,hsa2799,2799,NG_008955.1
1721,hsa28,28,NG_006669.2
1722,hsa2802,2802,NG_029887.1
1723,hsa2803,2803,NG_047053.1
1724,hsa2805,2805,NG_032044.1
1725,hsa2811,2811,NG_008767.2
1726,hsa2812,2812,NG_007974.1
1727,hsa2815,2815,NG_008715.1
1728,hsa2819,2819,NG_032168.1
1729,hsa2820,2820,NG_016606.2
1730,hsa2821,2821,NG_012838.3
1731,hsa2822,2822,NG_029888.2
1732,hsa28227,28227,NG_013257.1
1733,hsa28234,28234,NG_032071.1
1734,hsa2824,2824,NG_011988.1
1735,hsa282617,282617,NG_042193.1
1736,hsa282809,282809,NG_041783.1
1737,hsa283,283,NG_008717.2
1738,hsa283078,283078,NG_029181.1
1739,hsa283093,283093,NG_053127.1
1740,hsa2833,2833,NG_029076.1
1741,hsa283489,283489,NG_051829.1
1742,hsa283635,283635,NG_054633.1
1743,hsa283989,283989,NG_013041.1
1744,hsa284,284,NG_029405.1
1745,hsa284058,284058,NG_032784.1
1746,hsa284086,284086,NG_012263.1
1747,hsa284119,284119,NG_015845.2
1748,hsa284217,284217,NG_034251.1
1749,hsa284252,284252,NG_054919.1
1750,hsa284297,284297,NG_027671.2
1751,hsa284403,284403,NG_028101.1
1752,hsa2846,2846,NG_013242.1
1753,hsa2847,2847,NG_029686.1
1754,hsa2849,2849,NG_051571.1
1755,hsa285,285,NG_029483.1
1756,hsa28514,28514,NG_027940.1
1757,hsa285362,285362,NG_016225.2
1758,hsa285367,285367,NG_054931.1
1759,hsa285489,285489,NG_013072.2
1760,hsa285533,285533,NG_016386.1
1761,hsa285590,285590,NG_027746.2
1762,hsa286,286,NG_012820.2
1763,hsa286053,286053,NG_053069.1
1764,hsa2862,2862,NG_029790.1
1765,hsa286204,286204,NG_051311.1
1766,hsa286262,286262,NG_027801.2
1767,hsa2863,2863,NG_050928.1
1768,hsa286499,286499,NG_016400.1
1769,hsa286514,286514,NG_016370.1
1770,hsa286749,286749,NG_033050.2
1771,hsa2868,2868,NG_029102.1
1772,hsa286887,286887,NG_012416.1
1773,hsa287,287,NG_009006.2
1774,hsa2870,2870,NG_031981.1
1775,hsa2872,2872,NG_029798.1
1776,hsa2875,2875,NG_015828.1
1777,hsa2876,2876,NG_012264.1
1778,hsa2879,2879,NG_050621.1
1779,hsa288,288,NG_029917.1
1780,hsa2885,2885,NG_029556.1
1781,hsa2886,2886,NG_029932.1
1782,hsa2887,2887,NG_012305.2
1783,hsa2888,2888,NG_052839.1
1784,hsa2889,2889,NG_050622.1
1785,hsa2890,2890,NG_047078.1
1786,hsa2892,2892,NG_009377.2
1787,hsa2894,2894,NG_011875.1
1788,hsa2895,2895,NG_034113.1
1789,hsa28951,28951,NG_011644.1
1790,hsa28952,28952,NG_021311.2
1791,hsa28954,28954,NG_046939.1
1792,hsa28956,28956,NG_009898.1
1793,hsa2896,2896,NG_007886.1
1794,hsa28960,28960,NG_053153.1
1795,hsa28962,28962,NG_007262.1
1796,hsa28976,28976,NG_017064.1
1797,hsa2898,2898,NG_009224.2
1798,hsa28986,28986,NG_013248.1
1799,hsa2899,2899,NG_011447.1
1800,hsa29,29,NG_011987.2
1801,hsa2900,2900,NG_042194.1
1802,hsa2902,2902,NG_011507.1
1803,hsa2903,2903,NG_011812.2
1804,hsa2904,2904,NG_031854.2
1805,hsa29058,29058,NG_053057.1
1806,hsa2906,2906,NG_052829.1
1807,hsa29071,29071,NG_016219.1
1808,hsa29072,29072,NG_032091.1
1809,hsa29078,29078,NG_013379.1
1810,hsa2908,2908,NG_009062.1
1811,hsa29089,29089,NG_042230.1
1812,hsa2909,2909,NG_047014.2
1813,hsa29098,29098,NG_028189.1
1814,hsa291,291,NG_013001.1
1815,hsa29102,29102,NG_051574.1
1816,hsa29106,29106,NG_013214.1
1817,hsa29108,29108,NG_029446.1
1818,hsa29109,29109,NG_029672.1
1819,hsa2911,2911,NG_012839.2
1820,hsa29110,29110,NG_046906.1
1821,hsa29117,29117,NG_023418.1
1822,hsa29119,29119,NG_034072.1
1823,hsa29123,29123,NG_032003.2
1824,hsa29128,29128,NG_033256.2
1825,hsa2914,2914,NG_029677.3
1826,hsa2915,2915,NG_052831.1
1827,hsa2916,2916,NG_008105.1
1828,hsa2917,2917,NG_029781.1
1829,hsa2918,2918,NG_029532.1
1830,hsa292,292,NG_013262.1
1831,hsa2925,2925,NG_012512.1
1832,hsa293,293,NG_013263.1
1833,hsa2932,2932,NG_012922.1
1834,hsa2934,2934,NG_012872.2
1835,hsa2936,2936,NG_027719.1
1836,hsa2937,2937,NG_008848.2
1837,hsa2939,2939,NG_029430.1
1838,hsa2944,2944,NG_009246.1
1839,hsa2950,2950,NG_012075.1
1840,hsa2956,2956,NG_007111.1
1841,hsa2961,2961,NG_052833.1
1842,hsa2969,2969,NG_008179.2
1843,hsa2972,2972,NG_029489.1
1844,hsa29760,29760,NG_007575.1
1845,hsa2978,2978,NG_009938.1
1846,hsa29780,29780,NG_029743.2
1847,hsa29781,29781,NG_021419.1
1848,hsa29785,29785,NG_007933.3
1849,hsa29789,29789,NG_051001.1
1850,hsa2979,2979,NG_016216.1
1851,hsa2982,2982,NG_034128.1
1852,hsa2984,2984,NG_052021.1
1853,hsa29851,29851,NG_011586.1
1854,hsa2986,2986,NG_009175.1
1855,hsa29887,29887,NG_033902.1
1856,hsa29893,29893,NG_031960.1
1857,hsa29895,29895,NG_050592.1
1858,hsa29899,29899,NG_028108.2
1859,hsa2990,2990,NG_016197.1
1860,hsa29907,29907,NG_029947.1
1861,hsa29919,29919,NG_033119.1
1862,hsa2992,2992,NG_027677.1
1863,hsa29920,29920,NG_044963.1
1864,hsa29922,29922,NG_051763.1
1865,hsa29925,29925,NG_033731.2
1866,hsa29926,29926,NG_033833.1
1867,hsa29927,29927,NG_052786.1
1868,hsa2993,2993,NG_007470.3
1869,hsa29935,29935,NG_013259.2
1870,hsa2994,2994,NG_007483.3
1871,hsa29948,29948,NG_029757.1
1872,hsa2995,2995,NG_007479.1
1873,hsa29953,29953,NG_046971.1
1874,hsa29954,29954,NG_008897.1
1875,hsa29958,29958,NG_012164.1
1876,hsa29968,29968,NG_012165.1
1877,hsa29969,29969,NG_029463.1
1878,hsa2997,2997,NG_012923.1
1879,hsa29974,29974,NG_029916.1
1880,hsa29978,29978,NG_016249.1
1881,hsa29979,29979,NG_011519.1
1882,hsa2998,2998,NG_016167.1
1883,hsa29991,29991,NG_029693.1
1884,hsa29992,29992,NG_029837.1
1885,hsa29994,29994,NG_051314.1
1886,hsa30,30,NG_023225.1
1887,hsa3000,3000,NG_009092.1
1888,hsa30008,30008,NG_012304.2
1889,hsa30009,30009,NG_012166.1
1890,hsa3001,3001,NG_027996.1
1891,hsa30011,30011,NG_021367.1
1892,hsa3002,3002,NG_028340.1
1893,hsa30061,30061,NG_009027.1
1894,hsa30062,30062,NG_013031.1
1895,hsa3020,3020,NG_065173.1
1896,hsa3026,3026,NG_008956.1
1897,hsa3028,3028,NG_008153.1
1898,hsa3029,3029,NG_023249.1
1899,hsa3030,3030,NG_007121.2
1900,hsa3032,3032,NG_007294.1
1901,hsa3033,3033,NG_008156.2
1902,hsa3034,3034,NG_008180.1
1903,hsa3035,3035,NG_032158.1
1904,hsa3038,3038,NG_047056.1
1905,hsa3039,3039,NG_000006.1
1906,hsa3040,3040,NG_000006.1
1907,hsa3043,3043,NG_000007.3
1908,hsa3045,3045,NG_000007.3
1909,hsa3046,3046,NG_000007.3
1910,hsa3047,3047,NG_000007.3
1911,hsa3048,3048,NG_000007.3
1912,hsa3049,3049,NG_000006.1
1913,hsa3050,3050,NG_000006.1
1914,hsa3053,3053,NG_012076.2
1915,hsa3054,3054,NG_012513.1
1916,hsa3055,3055,NG_029471.1
1917,hsa3060,3060,NG_011448.1
1918,hsa3062,3062,NG_012447.2
1919,hsa3064,3064,NG_009378.1
1920,hsa3065,3065,NG_047018.1
1921,hsa3067,3067,NG_027487.1
1922,hsa3070,3070,NG_047057.1
1923,hsa3073,3073,NG_009017.2
1924,hsa3074,3074,NG_009770.2
1925,hsa3075,3075,NG_007259.1
1926,hsa3077,3077,NG_008720.2
1927,hsa3078,3078,NG_013060.1
1928,hsa308,308,NG_032042.1
1929,hsa3081,3081,NG_011957.1
1930,hsa30812,30812,NG_009933.2
1931,hsa30819,30819,NG_029836.1
1932,hsa3082,3082,NG_016274.2
1933,hsa30820,30820,NG_011538.2
1934,hsa30835,30835,NG_012167.1
1935,hsa3084,3084,NG_012005.2
1936,hsa30848,30848,NG_021275.2
1937,hsa30851,30851,NG_053154.1
1938,hsa3090,3090,NG_027689.1
1939,hsa3091,3091,NG_029606.1
1940,hsa3092,3092,NG_023251.3
1941,hsa3094,3094,NG_032998.1
1942,hsa3097,3097,NG_047004.1
1943,hsa3098,3098,NG_012077.1
1944,hsa31,31,NG_023295.2
1945,hsa3101,3101,NG_047006.1
1946,hsa3105,3105,NG_029217.2
1947,hsa3106,3106,NG_023187.1
1948,hsa3107,3107,NG_029422.2
1949,hsa3108,3108,NG_012006.1
1950,hsa3111,3111,NG_012007.1
1951,hsa3112,3112,NG_012008.1
1952,hsa3113,3113,NG_033241.1
1953,hsa3115,3115,NG_033242.1
1954,hsa3117,3117,NG_032876.1
1955,hsa3119,3119,NG_029922.1
1956,hsa3123,3123,NG_029921.1
1957,hsa3131,3131,NG_046944.1
1958,hsa3134,3134,NG_012009.1
1959,hsa3135,3135,NG_029039.1
1960,hsa3140,3140,NG_042221.1
1961,hsa3141,3141,NG_016193.2
1962,hsa3145,3145,NG_008093.1
1963,hsa3149,3149,NG_034209.1
1964,hsa3155,3155,NG_013061.1
1965,hsa3156,3156,NG_011449.1
1966,hsa3158,3158,NG_013348.1
1967,hsa3159,3159,NG_029020.1
1968,hsa3161,3161,NG_023309.1
1969,hsa3162,3162,NG_023030.1
1970,hsa3169,3169,NG_033028.1
1971,hsa317,317,NG_029094.1
1972,hsa3172,3172,NG_009818.1
1973,hsa3176,3176,NG_012966.1
1974,hsa3178,3178,NG_033830.1
1975,hsa3181,3181,NG_029680.1
1976,hsa3183,3183,NG_029011.1
1977,hsa3184,3184,NG_029103.1
1978,hsa3188,3188,NG_016327.1
1979,hsa3190,3190,NG_029577.1
1980,hsa319101,319101,NG_012319.1
1981,hsa3192,3192,NG_042184.1
1982,hsa3195,3195,NG_027826.1
1983,hsa3198,3198,NG_011813.1
1984,hsa3199,3199,NG_012078.2
1985,hsa32,32,NG_046907.1
1986,hsa3205,3205,NG_029923.1
1987,hsa3207,3207,NG_012079.1
1988,hsa3208,3208,NG_042176.1
1989,hsa3209,3209,NG_008181.2
1990,hsa3211,3211,NG_032884.1
1991,hsa3216,3216,NG_046953.1
1992,hsa322,322,NG_029615.1
1993,hsa3221,3221,NG_029818.1
1994,hsa3223,3223,NG_029818.1
1995,hsa3224,3224,NG_029818.1
1996,hsa3229,3229,NG_033026.1
1997,hsa323,323,NG_013337.1
1998,hsa3233,3233,NG_012080.1
1999,hsa3235,3235,NG_009225.1
2000,hsa3236,3236,NG_008133.2
2001,hsa3239,3239,NG_008137.1
2002,hsa324,324,NG_008481.4
2003,hsa3240,3240,NG_012651.1
2004,hsa3242,3242,NG_016461.1
2005,hsa3250,3250,NG_030311.1
2006,hsa3251,3251,NG_012329.2
2007,hsa3257,3257,NG_009646.1
2008,hsa326,326,NG_009556.1
2009,hsa3265,3265,NG_007666.1
2010,hsa326625,326625,NG_007096.1
2011,hsa327,327,NG_011438.1
2012,hsa3273,3273,NG_021485.2
2013,hsa3276,3276,NG_031846.1
2014,hsa328,328,NG_008718.1
2015,hsa3283,3283,NG_050909.1
2016,hsa3284,3284,NG_013349.1
2017,hsa3290,3290,NG_012081.1
2018,hsa3293,3293,NG_008157.1
2019,hsa3295,3295,NG_008182.1
2020,hsa3298,3298,NG_029607.2
2021,hsa3299,3299,NG_009294.1
2022,hsa330,330,NG_065365.1
2023,hsa3300,3300,NG_029553.1
2024,hsa3305,3305,NG_011855.1
2025,hsa3309,3309,NG_027761.1
2026,hsa331,331,NG_007264.1
2027,hsa3312,3312,NG_029473.1
2028,hsa3313,3313,NG_029469.1
2029,hsa3315,3315,NG_008995.1
2030,hsa3316,3316,NG_033080.2
2031,hsa332,332,NG_029069.1
2032,hsa3329,3329,NG_008915.1
2033,hsa3336,3336,NG_008914.1
2034,hsa3339,3339,NG_016740.1
2035,hsa334,334,NG_029770.1
2036,hsa3347,3347,NG_012279.1
2037,hsa335,335,NG_012021.1
2038,hsa3350,3350,NG_032816.1
2039,hsa3356,3356,NG_013011.1
2040,hsa3358,3358,NG_012082.3
2041,hsa3359,3359,NG_013058.1
2042,hsa336,336,NG_012043.1
2043,hsa3360,3360,NG_029052.1
2044,hsa3363,3363,NG_029218.1
2045,hsa337,337,NG_012044.1
2046,hsa3371,3371,NG_029637.1
2047,hsa3376,3376,NG_051498.1
2048,hsa338,338,NG_011793.1
2049,hsa3383,3383,NG_012083.1
2050,hsa338322,338322,NG_046899.1
2051,hsa338567,338567,NG_028085.1
2052,hsa3386,3386,NG_007728.1
2053,hsa338692,338692,NG_052619.1
2054,hsa338785,338785,NG_012323.1
2055,hsa338917,338917,NG_013092.1
2056,hsa339210,339210,NG_054932.1
2057,hsa339231,339231,NG_051248.1
2058,hsa339390,339390,NG_030321.1
2059,hsa3394,3394,NG_029333.1
2060,hsa339451,339451,NG_027546.1
2061,hsa3397,3397,NG_029639.1
2062,hsa339855,339855,NG_054713.1
2063,hsa34,34,NG_007045.2
2064,hsa340061,340061,NG_034249.1
2065,hsa340075,340075,NG_051250.1
2066,hsa340419,340419,NG_065170.1
2067,hsa340543,340543,NG_016591.1
2068,hsa340719,340719,NG_050764.1
2069,hsa340990,340990,NG_033191.2
2070,hsa341,341,NG_012859.1
2071,hsa3416,3416,NG_013012.1
2072,hsa3417,3417,NG_023319.2
2073,hsa3418,3418,NG_023302.1
2074,hsa3420,3420,NG_012149.1
2075,hsa342184,342184,NG_042863.1
2076,hsa3423,3423,NG_011900.3
2077,hsa342372,342372,NG_032958.1
2078,hsa3425,3425,NG_008103.1
2079,hsa342574,342574,NG_012418.1
2080,hsa3426,3426,NG_007569.1
2081,hsa342667,342667,NG_054936.1
2082,hsa3428,3428,NG_029141.2
2083,hsa343035,343035,NG_013042.1
2084,hsa3431,3431,NG_008295.1
2085,hsa343263,343263,NG_032757.1
2086,hsa344,344,NG_008837.1
2087,hsa3440,3440,NG_029154.1
2088,hsa345,345,NG_008949.1
2089,hsa3455,3455,NG_016003.2
2090,hsa3458,3458,NG_015840.1
2091,hsa3459,3459,NG_007394.1
2092,hsa3460,3460,NG_007570.2
2093,hsa347240,347240,NG_053094.1
2094,hsa3475,3475,NG_027799.1
2095,hsa347517,347517,NG_021267.1
2096,hsa3476,3476,NG_012084.1
2097,hsa347688,347688,NG_046777.1
2098,hsa347733,347733,NG_016715.1
2099,hsa3479,3479,NG_011713.1
2100,hsa348,348,NG_007084.2
2101,hsa3480,3480,NG_009492.1
2102,hsa3481,3481,NG_008849.1
2103,hsa3482,3482,NG_011785.4
2104,hsa3483,3483,NG_011778.1
2105,hsa3486,3486,NG_011508.1
2106,hsa348980,348980,NG_042183.1
2107,hsa3490,3490,NG_031877.1
2108,hsa35,35,NG_007991.1
2109,hsa350,350,NG_012045.1
2110,hsa3508,3508,NG_007976.1
2111,hsa351,351,NG_007376.2
2112,hsa3516,3516,NG_030343.1
2113,hsa353,353,NG_008013.1
2114,hsa353497,353497,NG_046934.1
2115,hsa354,354,NG_011653.1
2116,hsa3543,3543,NG_009791.1
2117,hsa3547,3547,NG_021190.4
2118,hsa3549,3549,NG_016741.1
2119,hsa355,355,NG_009089.2
2120,hsa3551,3551,NG_041793.1
2121,hsa3552,3552,NG_008850.1
2122,hsa3553,3553,NG_008851.1
2123,hsa3556,3556,NG_029105.2
2124,hsa3557,3557,NG_021240.1
2125,hsa3558,3558,NG_016779.1
2126,hsa3559,3559,NG_007403.1
2127,hsa356,356,NG_007269.1
2128,hsa3561,3561,NG_009088.1
2129,hsa3565,3565,NG_023252.1
2130,hsa3566,3566,NG_012086.1
2131,hsa3567,3567,NG_033019.1
2132,hsa3568,3568,NG_029547.1
2133,hsa3569,3569,NG_011640.1
2134,hsa357,357,NG_012493.2
2135,hsa3570,3570,NG_012087.1
2136,hsa3575,3575,NG_009567.1
2137,hsa3576,3576,NG_029889.1
2138,hsa3577,3577,NG_011814.1
2139,hsa3579,3579,NG_052975.1
2140,hsa358,358,NG_007475.2
2141,hsa3581,3581,NG_013238.1
2142,hsa3586,3586,NG_012088.1
2143,hsa3587,3587,NG_016275.1
2144,hsa3588,3588,NG_012089.1
2145,hsa359,359,NG_008913.1
2146,hsa3590,3590,NG_028966.1
2147,hsa3592,3592,NG_033022.1
2148,hsa3593,3593,NG_009618.1
2149,hsa3594,3594,NG_007366.2
2150,hsa3595,3595,NG_032977.2
2151,hsa3596,3596,NG_012090.1
2152,hsa3597,3597,NG_012841.1
2153,hsa3598,3598,NG_012514.1
2154,hsa36,36,NG_008003.1
2155,hsa360,360,NG_007476.1
